start_timestamp,end_timestamp,start_time_readable,end_time_readable,x,y
1744730696.7196553,1744730696.7331944,2025-04-15 11:24:56.719655,2025-04-15 11:24:56.733194,0.9530894458293915,0.5407171994447708
1744730696.8487322,1744730696.8487322,2025-04-15 11:24:56.848732,2025-04-15 11:24:56.848732,0.961470752954483,0.5588314533233643
1744730696.882886,1744730696.882886,2025-04-15 11:24:56.882886,2025-04-15 11:24:56.882886,0.9618993997573853,0.5607510507106781
1744730697.0199063,1744730697.0360532,2025-04-15 11:24:57.019906,2025-04-15 11:24:57.036053,0.9642037898302078,0.5620868653059006
1744730697.0997784,1744730697.0997784,2025-04-15 11:24:57.099778,2025-04-15 11:24:57.099778,0.9617730379104614,0.5548563003540039
1744730697.1499188,1744730697.1831696,2025-04-15 11:24:57.149919,2025-04-15 11:24:57.183170,0.9600583712259928,0.5461511413256327
1744730697.2502325,1744730697.2669327,2025-04-15 11:24:57.250232,2025-04-15 11:24:57.266933,0.9603751301765442,0.5448852330446243
1744730697.499825,1744730697.5200734,2025-04-15 11:24:57.499825,2025-04-15 11:24:57.520073,0.9569438397884369,0.5423386245965958
1744730697.5664618,1744730697.5664618,2025-04-15 11:24:57.566462,2025-04-15 11:24:57.566462,0.9571913778781892,0.5458849966526031
1744730697.6342516,1744730697.6342516,2025-04-15 11:24:57.634252,2025-04-15 11:24:57.634252,0.959799975156784,0.5447202920913696
1744730697.6667333,1744730697.6667333,2025-04-15 11:24:57.666733,2025-04-15 11:24:57.666733,0.9566037654876708,0.542119562625885
1744730697.8007565,1744730697.8209894,2025-04-15 11:24:57.800756,2025-04-15 11:24:57.820989,0.9478839486837388,0.058966866228729445
1744730697.9210997,1744730697.9210997,2025-04-15 11:24:57.921100,2025-04-15 11:24:57.921100,0.9465965628623962,0.0661988239735364
1744730697.951218,1744730697.951218,2025-04-15 11:24:57.951218,2025-04-15 11:24:57.951218,0.946465104818344,0.0614397209137678
1744730698.0008953,1744730698.0008953,2025-04-15 11:24:58.000895,2025-04-15 11:24:58.000895,0.9495690166950226,0.0608538649976253
1744730698.0334525,1744730698.0334525,2025-04-15 11:24:58.033453,2025-04-15 11:24:58.033453,0.9466023445129396,0.0641580410301685
1744730698.121584,1744730698.121584,2025-04-15 11:24:58.121584,2025-04-15 11:24:58.121584,0.9464353621006012,0.0655987011268735
1744730698.1674693,1744730698.1842506,2025-04-15 11:24:58.167469,2025-04-15 11:24:58.184251,0.9598777294158936,0.06603257823735476
1744730698.2219453,1744730698.2219453,2025-04-15 11:24:58.221945,2025-04-15 11:24:58.221945,0.9591703116893768,0.0649488447234034
1744730698.2698596,1744730698.2889414,2025-04-15 11:24:58.269860,2025-04-15 11:24:58.288941,0.9387836754322052,0.0601899526081979
1744730698.338764,1744730698.3681595,2025-04-15 11:24:58.338764,2025-04-15 11:24:58.368160,0.9372821946938833,0.05924714015175897
1744730698.4016905,1744730698.4016905,2025-04-15 11:24:58.401690,2025-04-15 11:24:58.401690,0.93877974152565,0.0624541789293289
1744730698.4348614,1744730698.4512198,2025-04-15 11:24:58.434861,2025-04-15 11:24:58.451220,0.9365407526493073,0.06125370319932695
1744730698.4843338,1744730698.4843338,2025-04-15 11:24:58.484334,2025-04-15 11:24:58.484334,0.9367245435714722,0.0691698025912046
1744730698.5510745,1744730698.6057844,2025-04-15 11:24:58.551075,2025-04-15 11:24:58.605784,0.9322613254189491,0.06404930911958213
1744730698.722536,1744730698.751824,2025-04-15 11:24:58.722536,2025-04-15 11:24:58.751824,0.9328302741050721,0.06531153308848536
1744730698.7845056,1744730698.7845056,2025-04-15 11:24:58.784506,2025-04-15 11:24:58.784506,0.9328693747520448,0.0618059551343321
1744730698.8361452,1744730698.8558886,2025-04-15 11:24:58.836145,2025-04-15 11:24:58.855889,0.9334008991718292,0.0625948742963373
1744730698.9009411,1744730698.9178562,2025-04-15 11:24:58.900941,2025-04-15 11:24:58.917856,0.9347794950008392,0.06454595038667316
1744730698.9707077,1744730698.9707077,2025-04-15 11:24:58.970708,2025-04-15 11:24:58.970708,0.9339719414711,0.0661079939454793
1744730699.0206094,1744730699.0206094,2025-04-15 11:24:59.020609,2025-04-15 11:24:59.020609,0.9334067106246948,0.0644817994907498
1744730699.0513191,1744730699.1224184,2025-04-15 11:24:59.051319,2025-04-15 11:24:59.122418,0.9315490782260895,0.06239558327943082
1744730699.1552486,1744730699.1552486,2025-04-15 11:24:59.155249,2025-04-15 11:24:59.155249,0.9346099197864532,0.0605762843042612
1744730699.2062273,1744730699.239135,2025-04-15 11:24:59.206227,2025-04-15 11:24:59.239135,0.9323119719823202,0.06474937032908197
1744730699.2855225,1744730699.2855225,2025-04-15 11:24:59.285522,2025-04-15 11:24:59.285522,0.9324418604373932,0.0664454512298107
