start_timestamp,end_timestamp,x,y
1744745615.1964765,1744745615.364051,,
1744745615.3971124,1744745615.5138834,,
1744745615.6305792,1744745615.6305792,0.170029416680336,0.1820675656199455
1744745615.8147173,1744745615.8307722,,
1744745615.9316337,1744745615.9316337,0.2136204317212104,0.1068298714235425
1744745616.046178,1744745616.7978492,,
1744745616.9638145,1744745616.9812298,,
1744745617.0305269,1744745617.080626,,
1744745617.113511,1744745617.1307237,,
1744745617.2974684,1744745617.4144037,,
1744745617.5471013,1744745617.66469,,
1744745617.7134714,1744745617.747119,,
1744745617.779829,1744745617.8143814,,
1744745617.914401,1744745617.9637418,,
1744745618.147375,1744745618.164674,,
1744745618.2636344,1744745618.2802272,,
1744745618.347076,1744745618.347076,0.2149208411574363,0.1141381314955651
1744745618.5637803,1744745618.580787,,
1744745618.6305923,1744745618.6471145,,
1744745618.7473724,1744745618.7473724,0.1377994157373905,0.1691899038851261
1744745618.8136137,1744745618.8647573,,
1744745618.914302,1744745618.914302,0.1610470488667488,0.1708682663738727
1744745618.9465826,1744745619.1311104,,
1744745619.1807296,1744745619.2973783,,
1744745619.3977897,1744745619.447286,,
1744745619.5456314,1744745619.6635473,,
1744745620.0643106,1744745620.13048,,
1744745620.249991,1744745620.249991,0.1887254044413566,0.1483960300683975
1744745620.3974354,1744745620.414498,,
1744745620.563717,1744745620.597714,,
1744745620.6301963,1744745620.663615,,
1744745620.7807665,1744745620.8138535,,
1744745620.913818,1744745620.913818,0.2058813497424125,0.1552419140934944
1744745620.9796927,1744745620.9973822,,
1744745621.0297265,1744745621.0467827,,
1744745621.0974777,1744745621.1302578,,
1744745621.2131371,1744745621.346682,,
1744745621.4467492,1744745621.463801,,
1744745621.547553,1744745621.563888,,
1744745621.630896,1744745621.7145758,,
1744745621.7641685,1744745621.7641685,0.1884938031435012,0.1672861240804195
1744745621.847413,1744745621.847413,0.210267573595047,0.1679778844118118
1744745621.880445,1744745622.0137084,,
1744745622.04725,1744745622.063825,,
1744745622.1139026,1744745622.1139026,0.2237806320190429,0.1478534415364265
1744745622.1973948,1744745622.2640507,,
1744745622.3640606,1744745622.3815508,,
1744745622.4465196,1744745622.4647694,,
1744745622.5632482,1744745622.579848,,
1744745622.6643414,1744745622.6976984,,
1744745622.8642688,1744745622.8808248,,
1744745622.930236,1744745623.0468905,,
1744745623.0807314,1744745623.0978122,,
1744745623.1296933,1744745623.2806826,,
1744745623.329653,1744745623.3804586,,
1744745623.430498,1744745623.4476707,,
1744745623.6135044,1744745623.6637928,,
1744745623.7133684,1744745623.7474566,,
1744745623.9640186,1744745623.9815516,,
1744745624.0304303,1744745624.0473962,,
1744745624.263425,1744745624.2805955,,
1744745624.3639293,1744745624.380768,,
1744745624.6134715,1744745624.6304958,,
1744745624.7974796,1744745624.7974796,0.1456588581204414,0.1829015165567398
1744745624.830468,1744745624.84748,0.1029360722750425,0.19091438502073285
1744745624.8805404,1744745624.8967612,,
1744745624.9797351,1744745625.0802429,,
1744745625.1804156,1744745625.1804156,0.1635461151599884,0.1851224452257156
1744745625.2298112,1744745625.563738,,
