Frame ID,Hand ID,Hand Type,Palm Position X,Palm Position Y,Palm Position Z,Hand Shape,TipPosition X,TipPosition Y,TipPosition Z,PointDirection X,PointDirection Y,PointDirection Z,Intersection X,Intersection Y,Intersection Z
2082,5,left,-7.614168,275.858795,-10.593009,Index-Point,-12.744534,301.349579,-69.512253,10.553479,24.669067,-36.476196,63.199757,478.871582,-332.000000
2083,5,left,-8.579492,275.311005,-10.925865,Index-Point,-14.321778,300.635284,-70.471375,9.993209,24.616150,-37.148426,56.031410,473.935425,-332.000000
2084,5,left,-9.250391,275.143219,-11.110344,Index-Point,-15.000191,300.181549,-70.922607,9.980808,24.378296,-37.419067,54.637123,470.271912,-332.000000
2085,5,left,-10.407702,274.375000,-11.631085,Index-Point,-17.157400,299.134125,-72.714394,9.045553,24.252930,-38.730240,43.399460,461.499146,-332.000000
2086,5,left,-11.755235,273.547577,-12.323470,Index-Point,-19.456083,298.107056,-74.083588,8.168180,24.223816,-39.454624,33.939629,456.459076,-332.000000
2087,5,left,-13.499443,271.901764,-13.338013,Index-Point,-23.902586,296.479645,-76.624329,5.658825,24.560822,-41.090385,11.266863,449.124512,-332.000000
2088,5,left,-15.786213,269.611603,-14.614459,Index-Point,-29.271036,293.045349,-80.455063,2.883204,24.074829,-43.946320,-12.767828,430.847595,-332.000000
2089,5,left,-18.878277,267.355713,-16.185438,Index-Point,-34.798058,290.083954,-82.936714,0.892300,24.053650,-45.509571,-29.914709,421.723999,-332.000000
2090,5,left,-22.817270,265.256165,-17.567566,Index-Point,-43.405819,287.644226,-84.270630,-3.194359,24.122772,-46.208305,-60.531235,416.969879,-332.000000
2091,5,left,-27.692059,263.492645,-18.586731,Index-Point,-50.151375,285.559052,-81.320145,-4.554630,23.978973,-42.882828,-76.776344,425.732788,-332.000000
2092,5,left,-33.000187,261.314545,-19.200455,Index-Point,-58.180611,283.010345,-79.444664,-6.760540,23.608887,-41.031754,-99.792542,428.325867,-332.000000
2093,5,left,-38.147289,258.837616,-19.381628,Index-Point,-66.063370,279.274597,-78.957016,-8.715134,22.408447,-41.185196,-119.609390,416.952698,-332.000000
2094,5,left,-43.235744,256.243927,-19.192619,Index-Point,-72.187111,275.651459,-77.789307,-9.131737,21.676605,-40.922363,-128.913681,410.307037,-332.000000
2095,5,left,-47.922695,253.911179,-18.870674,Index-Point,-78.578789,272.431580,-76.617851,-10.379860,21.460678,-40.752678,-143.625580,406.917786,-332.000000
2096,5,left,-52.517410,251.406570,-18.368380,Index-Point,-84.599503,269.438538,-75.197868,-11.515312,21.635452,-40.334709,-157.914932,407.186646,-332.000000
2097,5,left,-57.149433,249.310135,-17.617466,Index-Point,-90.075539,267.131104,-73.047142,-12.213585,22.116653,-39.239567,-170.676392,413.085083,-332.000000
2098,5,left,-61.890671,247.430649,-16.929327,Index-Point,-95.162704,265.054352,-70.578468,-12.444412,22.691330,-37.816231,-181.190247,421.918274,-332.000000
2099,5,left,-66.061722,246.339386,-16.198595,Index-Point,-100.173264,264.032532,-68.611794,-13.204559,23.487595,-36.802696,-194.675171,432.127686,-332.000000
2100,5,left,-68.090088,245.210999,-15.333535,Index-Point,-103.167725,262.729218,-67.262764,-14.022873,23.736145,-36.441170,-205.040863,435.167175,-332.000000
2101,5,left,-71.946625,244.353592,-14.941017,Index-Point,-107.440651,262.633453,-65.247253,-14.409431,24.795761,-35.050240,-217.104828,451.343628,-332.000000
2102,5,left,-75.919090,243.643188,-14.439135,Index-Point,-113.020287,261.650024,-64.708260,-16.016678,24.915848,-35.257015,-234.446503,450.542938,-332.000000
2103,5,left,-80.452484,242.053757,-13.557652,Index-Point,-118.075539,260.361328,-61.791492,-16.490646,25.681961,-33.498367,-251.094330,467.520203,-332.000000
2104,5,left,-82.696167,242.163223,-13.241740,Index-Point,-122.329933,258.980164,-63.250675,-18.624916,24.687469,-35.394260,-263.749298,446.432617,-332.000000
2105,5,left,-85.684387,241.996719,-12.949317,Index-Point,-125.666100,258.985199,-62.644199,-18.841019,24.938797,-35.275005,-269.533905,449.414917,-332.000000
2106,5,left,-88.399910,242.039810,-12.720869,Index-Point,-128.647629,258.950073,-61.565750,-19.191818,25.252701,-34.509640,-279.044006,456.842468,-332.000000
2107,5,left,-90.752281,241.775574,-12.582676,Index-Point,-131.290070,258.796478,-60.634602,-19.489746,25.554398,-33.788063,-287.819977,464.033997,-332.000000
2108,5,left,-92.732445,241.769943,-12.319159,Index-Point,-133.469254,258.863495,-59.907314,-19.783051,25.974548,-33.382271,-294.717224,470.577209,-332.000000
2109,5,left,-94.423683,241.768631,-12.121611,Index-Point,-135.488297,259.017120,-59.285480,-20.187439,26.355606,-33.011734,-302.259521,476.744446,-332.000000
2110,5,left,-95.784973,241.751480,-11.863376,Index-Point,-137.159103,259.040680,-58.845169,-20.539131,26.614105,-32.875881,-307.811951,480.168518,-332.000000
2111,5,left,-96.812752,241.727066,-11.676283,Index-Point,-138.315582,258.814819,-58.602512,-20.728493,26.671188,-32.844410,-310.859955,480.826294,-332.000000
2112,5,left,-97.608322,241.795959,-11.611654,Index-Point,-139.671158,258.298523,-58.868740,-21.368767,26.294052,-33.186768,-315.538788,474.701874,-332.000000
2113,5,left,-98.168282,241.880417,-11.568960,Index-Point,-140.297058,258.300598,-58.845394,-21.477699,26.360321,-33.206593,-316.970764,475.138367,-332.000000
2114,5,left,-98.443939,242.128967,-11.572453,Index-Point,-140.633057,258.424133,-59.019482,-21.562881,26.294678,-33.353600,-317.113159,473.631348,-332.000000
2115,5,left,-98.657257,242.349304,-11.599777,Index-Point,-140.854111,258.614624,-59.073002,-21.591240,26.321930,-33.367142,-317.459961,473.915222,-332.000000
2116,5,left,-98.730232,242.556702,-11.580194,Index-Point,-140.933182,258.665527,-59.242233,-21.616791,26.191025,-33.539814,-316.728638,471.660309,-332.000000
2117,5,left,-98.693604,242.785339,-11.637309,Index-Point,-140.967163,258.758209,-59.589783,-21.697311,26.057877,-33.802704,-315.822083,468.754211,-332.000000
2118,5,left,-98.484497,242.850372,-11.705878,Index-Point,-140.811707,258.430298,-60.244682,-21.755615,25.667969,-34.356709,-312.894653,461.459259,-332.000000
2119,5,left,-98.218697,243.145203,-11.878431,Index-Point,-140.703888,258.319916,-60.983906,-21.928711,25.262436,-34.881306,-311.082642,454.600586,-332.000000
2120,5,left,-97.800308,243.393814,-12.009775,Index-Point,-140.335403,258.171936,-61.775791,-21.976372,24.854111,-35.503952,-307.599823,447.339111,-332.000000
2121,5,left,-97.252113,243.642624,-12.063664,Index-Point,-139.804184,258.076324,-62.514633,-21.979736,24.476578,-36.154003,-303.637146,440.520264,-332.000000
2122,5,left,-96.674561,243.924423,-12.125716,Index-Point,-139.221512,258.201355,-62.947296,-21.963203,24.271225,-36.481911,-301.199280,437.200714,-332.000000
2123,5,left,-96.096245,244.172791,-12.230421,Index-Point,-138.578415,258.291443,-63.354282,-21.877960,24.046890,-36.743759,-298.535400,434.106171,-332.000000
2124,5,left,-95.520874,244.374115,-12.339485,Index-Point,-137.950439,258.305084,-63.810593,-21.798027,23.752365,-37.045769,-295.755249,430.258118,-332.000000
2125,5,left,-94.967232,244.570114,-12.429799,Index-Point,-137.279037,258.443848,-63.995777,-21.652725,23.599014,-37.093597,-293.721710,428.948608,-332.000000
2126,5,left,-94.456261,244.723740,-12.525487,Index-Point,-136.655731,258.526337,-64.309166,-21.506729,23.411865,-37.265617,-291.145447,426.701233,-332.000000
2127,5,left,-94.002541,244.877914,-12.627221,Index-Point,-136.091599,258.621948,-64.616417,-21.373802,23.252609,-37.424866,-288.797668,424.751221,-332.000000
2128,5,left,-93.603020,244.994080,-12.738921,Index-Point,-135.629715,258.712677,-64.869423,-21.288788,23.136475,-37.526276,-287.173828,423.409546,-332.000000
2129,5,left,-93.231133,245.074982,-12.803178,Index-Point,-135.212814,258.819946,-65.092400,-21.225960,23.101181,-37.652966,-285.675598,422.575439,-332.000000
2130,5,left,-92.914124,245.149368,-12.888938,Index-Point,-134.838455,258.951447,-65.221962,-21.164909,23.126663,-37.671429,-284.722168,422.727722,-332.000000
2131,5,left,-92.777313,245.232117,-12.969543,Index-Point,-134.663605,259.181671,-65.258003,-21.150055,23.268234,-37.612038,-284.658356,424.198395,-332.000000
